pair,prior_molecules,posterior_molecules,induced_molecules,mean_lambda_exposed
Endocrine -> Ductal/tumor epithelial,2898.423168181189,2821.9924794668023,0.0,0.09093707805312679
Endothelial -> Ductal/tumor epithelial,8494.643794567293,8294.009773787775,0.0,0.022226399031885266
Exocrine epithelial -> Ductal/tumor epithelial,437942.29099608376,421392.01059030177,0.0,0.596085149270012
Fibroblast / CAF -> Ductal/tumor epithelial,59235.26966539851,58449.563966812755,0.0,0.0583031711305786
Immune -> Ductal/tumor epithelial,21273.02625146677,21234.66821569109,0.0,0.024939242199480918
Mural / pericyte -> Ductal/tumor epithelial,1885.2526284628461,1867.9698266119776,0.0,0.017393144949744702
Endothelial -> Endocrine,881.1927655417766,900.6921183827766,0.0,0.013738425255060091
Exocrine epithelial -> Endocrine,7319.028731333564,7349.411933642894,0.0,0.13287058869796284
Fibroblast / CAF -> Endocrine,2585.6384148438397,2558.0551742260823,0.0,0.06921092628959914
Immune -> Endocrine,1071.1845309916093,1062.012280111057,0.0,0.034922967755335974
Ductal/tumor epithelial -> Endothelial,8067.77817631973,7934.381924247612,0.0,0.04838154194712501
Endocrine -> Endothelial,4269.999034655259,4272.463596372602,0.0,0.21222949723475282
Exocrine epithelial -> Endothelial,54974.930211783336,53895.10521544505,0.0,0.32556463568957494
Fibroblast / CAF -> Endothelial,35186.68748287572,34308.02047579067,0.0,0.15142774344243862
Immune -> Endothelial,12443.131448877572,12381.484131256679,0.0,0.05279730825555339
Mural / pericyte -> Endothelial,10394.412328372393,10085.528434257536,0.0,0.1305928158654385
Ductal/tumor epithelial -> Exocrine epithelial,131835.34528342076,127063.9665551113,0.0,0.07934320358901412
Endocrine -> Exocrine epithelial,6160.105002811228,6211.082968695644,0.0,0.08282781082487797
Endothelial -> Exocrine epithelial,11650.612082692845,12043.34069904959,0.0,0.011792202469280906
Fibroblast / CAF -> Exocrine epithelial,21812.58881288024,21981.96829964702,0.0,0.030833203628565224
Immune -> Exocrine epithelial,24329.863277878583,24702.138562235123,0.0,0.02591809130156085
Mural / pericyte -> Exocrine epithelial,612.7556197345809,611.7914458616079,0.0,0.013411747132317077
Ductal/tumor epithelial -> Fibroblast / CAF,39094.28689517979,38574.96194346438,0.0,0.07905111389265976
Endocrine -> Fibroblast / CAF,2783.3304199405657,2798.0716469763547,0.0,0.09587031265515668
Endothelial -> Fibroblast / CAF,13081.976288542171,13320.446372448336,0.0,0.03160971614701231
Exocrine epithelial -> Fibroblast / CAF,46443.14047661814,46320.66767264356,0.0,0.19188709082184233
Immune -> Fibroblast / CAF,119748.69997589725,118838.66599941686,0.0,0.12987042582836966
Mural / pericyte -> Fibroblast / CAF,7777.346097816422,7809.685860433231,0.0,0.03929954655400193
Ductal/tumor epithelial -> Immune,20932.28153513625,20847.486737284544,0.0,0.08710343590835119
Endocrine -> Immune,1122.2011651725961,1121.95728118112,0.0,0.08973586465062432
Endothelial -> Immune,6365.860352235733,6398.459365867297,0.0,0.029891057182055814
Exocrine epithelial -> Immune,55405.213267838444,55152.253407527656,0.0,0.2537311006780786
Fibroblast / CAF -> Immune,69856.96636504319,69662.4531383688,0.0,0.17093291333993962
Mural / pericyte -> Immune,3898.361317466054,3883.403706983099,0.0,0.04538788208442987
Ductal/tumor epithelial -> Mural / pericyte,1126.8093896916398,1138.3789557595933,0.0,0.09962076173975225
Endothelial -> Mural / pericyte,1481.0059695339785,1510.6034588778934,0.0,0.04760700565362368
Exocrine epithelial -> Mural / pericyte,807.7577465051178,805.3326701607098,0.0,0.1150315230210666
Fibroblast / CAF -> Mural / pericyte,4775.221777910976,4814.9925975217175,0.0,0.11715315699176611
Immune -> Mural / pericyte,4449.712275887549,4462.67006762946,0.0,0.09769134756358694
